Codigo;Descrição;Unidade;Preco_Sem_Desoneracao;Preco_Com_Desoneracao;Tipo
104658;PISO PODOTÁTIL DE ALERTA OU DIRECIONAL, DE CONCRETO, ASSENTADO SOBRE ARGAMASSA. AF_03/2024;M2;150,51;146,0;Composição
105002;RAMPA DE ACESSIBILIDADE EM CONCRETO MOLDADO IN LOCO, EM CALÇADA NOVA COM LARGURA MAIOR OU IGUAL À 3,00 M, FCK 25MPA, COM PISO PODOTÁTIL. AF_03/2024;UN;773,33;740,06;Composição
105004;RAMPA DE ACESSIBILIDADE EM CONCRETO MOLDADO IN LOCO, EM CALÇADA NOVA COM LARGURA MENOR À 3,00 M, FCK 25MPA, COM PISO PODOTÁTIL. AF_03/2024;M2;132,58;126,82;Composição
105003;RAMPA DE ACESSIBILIDADE EM CONCRETO MOLDADO IN LOCO, EM CALÇADA PRÉ EXISTENTE COM LARGURA MAIOR OU IGUAL À 3,00 M, FCK 25MPA, COM PISO PODOTÁTIL. AF_03/2024;UN;1305,64;1240,35;Composição
105005;RAMPA DE ACESSIBILIDADE EM CONCRETO MOLDADO IN LOCO, EM CALÇADA PRÉ EXISTENTE COM LARGURA MENOR À 3,00 M, FCK 25MPA, COM PISO PODOTÁTIL. AF_03/2024;M2;231,14;219,45;Composição
105000;RAMPA DE ACESSIBILIDADE PARA ACESSO A EDIFICAÇÕES COM INCLINAÇÃO DE 8,33% EM CONCRETO MOLDADO IN LOCO, COM LARGURA DE 1,20M, FCK 25MPA, NÃO ARMADA, COM JUNTA A CADA 2M COM CORTE À SECO. AF_03/2024;M;1555,18;1499,18;Composição
105001;RAMPA DE ACESSIBILIDADE PARA ACESSO A EDIFICAÇÕES COM INCLINAÇÃO DE 8,33% EM CONCRETO MOLDADO IN LOCO, COM LARGURA DE 1,50M, FCK 25MPA, NÃO ARMADA, COM JUNTA A CADA 2M COM CORTE À SECO. AF_03/2024;M;1584,89;1528,34;Composição
89306;ALVENARIA ESTRUTURAL DE BLOCOS CERÂMICOS 14X19X29, (ESPESSURA DE 14 CM), UTILIZANDO COLHER DE PEDREIRO E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_03/2023;M2;108,27;103,27;Composição
89307;ALVENARIA ESTRUTURAL DE BLOCOS CERÂMICOS 14X19X29, (ESPESSURA DE 14 CM), UTILIZANDO COLHER DE PEDREIRO E ARGAMASSA DE ASSENTAMENTO COM PREPARO MANUAL. AF_03/2023;M2;111,06;105,88;Composição
89290;ALVENARIA ESTRUTURAL DE BLOCOS CERÂMICOS 14X19X29, (ESPESSURA DE 14 CM), UTILIZANDO PALHETA E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_03/2023;M2;87,92;84,32;Composição
